 ,Area,,
399,43.704,,
400,75.734,,
401,24.044,,
402,4.264,,
403,1.421,,
404,17.458,,
405,39.494,,
406,7.15,,
407,118.722,,
408,5.013,,
409,44.117,,
410,31.433,,
411,9.114,,
412,10.514,,
413,8.018,,
414,5.642,,
415,1.107,,
416,2.854,,
417,12.89,,
418,9.331,,
419,166.745,,
420,9.852,,
421,8.875,,
422,8.919,,
423,1.096,,
424,1.91,,
425,34.221,,
426,2.593,,
427,24.51,,
428,31.227,,
429,24.293,,
430,15.906,,
431,80.356,,
432,7.899,,
433,2.474,,
434,59.046,,
435,14.29,,
436,7.671,,
437,69.43,,
438,112.516,,
439,42.305,,
440,5.067,,
441,8.81,,
442,36.706,,
443,4.807,,
444,7.497,,
445,30.218,,
446,201.671,,
447,7.172,,
448,13.259,,
449,4.948,,
450,1.595,,
451,37.314,,
452,1.758,,
453,3.548,,
454,40.026,,
455,7.096,,
456,233.44,,
457,3.136,,
458,2.886,,
459,1.302,,
460,61.77,,
461,13.671,,
462,8.387,,
463,30.955,,
464,1.628,,
465,482.83,,
466,1.215,,
467,10.579,,
468,23.501,,
469,9.982,,
470,5.816,,
471,20.691,,
472,2.973,,
473,1.541,,
474,2.094,,
475,3.092,,
476,22.709,,
477,17.132,,
478,31.075,,
479,55.976,,
480,8.908,,
481,35.35,,
482,5.566,,
483,74.356,,
484,142.451,,
485,2.062,,
486,49.965,,
487,19.172,,
488,11.338,,
489,46.189,,
490,29.209,,
491,119.547,,
492,40.211,,
493,30.001,,
494,11.642,,
495,11.403,,
496,21.559,,
497,3.342,,
498,4.383,,
499,2.788,,
500,6.261,,
501,20.214,,
502,38.941,,
503,1.964,,
504,39.158,,
505,85.108,,
506,31.281,,
507,37.748,,
508,57.658,,
509,60.945,,
510,6.087,,
511,17.121,,
512,10.872,,
513,6.434,,
514,1.617,,
515,27.863,,
516,36.956,,
517,11.718,,
518,8.159,,
519,6.402,,
520,1.096,,
521,1.378,,
522,1.378,,
523,27.863,,
524,1.356,,
525,1.595,,
526,1.378,,
