 ,Area,,
399,5.924,,
400,45.214,,
401,37.554,,
402,16.948,,
403,2.799,,
404,124.553,,
405,57.703,,
406,2.246,,
407,83.288,,
408,19.531,,
409,46.722,,
410,34.353,,
411,10.992,,
412,36.87,,
413,9.288,,
414,31.249,,
415,2.865,,
416,18.088,,
417,3.353,,
418,23.936,,
419,1.552,,
420,18.902,,
421,5.458,,
422,2.919,,
423,1.031,,
424,1.313,,
425,1.313,,
426,27.864,,
427,1.356,,
428,1.584,,
429,1.313,,
