 ,Area,,
1,288.168,,688.8707353
2,15.158,,
3,56.952,,
4,1464.245,,
5,506.527,,691.3694139
6,930.506,,
7,2876.865,,
8,737.211,,
9,308.393,,
10,1673.891,,
11,1885.468,,
12,34.84,,
13,93.344,,
14,33.592,,
15,333.63,,
16,46.569,,
17,881.55,,
18,310.943,,
19,140.65,,
20,1398.374,,
21,868.747,,
22,1357.599,,
23,782.543,,
24,544.101,,
25,256.79,,
26,193.262,,
27,1629.134,,
28,404.438,,
29,173.157,,
30,1773.072,,
31,566.029,,
32,264.081,,
33,563.913,,
34,27.863,,
