 ,Area,,
399,45.527,,
400,35.632,,
401,7.085,,
402,4.611,,
403,4.438,,
404,2.365,,
405,125.634,,
406,35.903,,
407,34.568,,
408,76.982,,
409,16.243,,
410,11.523,,
411,5.197,,
412,5.61,,
413,218.109,,
414,8.767,,
415,22.937,,
416,55.108,,
417,4.101,,
418,11.501,,
419,42.749,,
420,11.924,,
421,178.506,,
422,90.577,,
423,2.409,,
424,10.47,,
425,96.143,,
426,5.935,,
427,2.3,,
428,11.87,,
429,32.29,,
430,58.786,,
431,4.373,,
432,17.176,,
433,47.231,,
434,260.685,,
435,59.383,,
436,36.793,,
437,25.194,,
438,6.098,,
439,140.618,,
440,97.911,,
441,4.991,,
442,7.986,,
443,2.474,,
444,4.405,,
445,22.471,,
446,5.067,,
447,18.684,,
448,15.299,,
449,7.183,,
450,2.496,,
451,33.223,,
452,97.911,,
453,39.104,,
454,2.984,,
455,7.074,,
456,6.163,,
457,9.624,,
458,16.015,,
459,63.647,,
460,3.147,,
461,3.049,,
462,10.47,,
463,53.589,,
464,2.235,,
465,72.132,,
466,31.031,,
467,26.637,,
468,59.415,,
469,3.288,,
470,9.678,,
471,4.069,,
472,8.431,,
473,65.752,,
474,13.747,,
475,32.507,,
476,28.558,,
477,124.331,,
478,2.42,,
479,4.926,,
480,5.414,,
481,3.038,,
482,6.185,,
483,11.935,,
484,25.227,,
485,118.635,,
486,44.898,,
487,7.053,,
488,42.5,,
489,2.333,,
490,81.734,,
491,13.498,,
492,45.516,,
493,16.763,,
494,7.15,,
495,8.181,,
496,4.763,,
497,7.595,,
498,5.978,,
499,51.831,,
500,27.125,,
501,3.852,,
502,83.307,,
503,3.722,,
504,91.683,,
505,18.109,,
506,4.383,,
507,16.59,,
508,2.973,,
509,15.429,,
510,14.669,,
511,48.652,,
512,16.188,,
513,17.458,,
514,10.384,,
515,23.458,,
516,2.007,,
517,19.422,,
518,30.163,,
519,36.597,,
520,12.89,,
521,17.946,,
522,2.083,,
523,20.854,,
524,6.792,,
525,32.561,,
